MemberName,ParentName,Description,AccountType
ScrapRate,EfficiencyMetrics,Scrap Rate (%),Statistical
Capacity_Utilization,EfficiencyMetrics,Capacity Utilization (%),Statistical
UnitsPerHour,EfficiencyMetrics,Units Per Hour (Throughput),Statistical
AvgSellingPrice,EfficiencyMetrics,Average Selling Price,Statistical
ASP_Industrial,AvgSellingPrice,ASP - Industrial Products,Statistical
ASP_Consumer,AvgSellingPrice,ASP - Consumer Products,Statistical
ASP_Specialty,AvgSellingPrice,ASP - Specialty Products,Statistical
Yield_Rate,EfficiencyMetrics,Yield Rate (%),Statistical
CycleTime,EfficiencyMetrics,Average Cycle Time (Minutes),Statistical
CT_Machining,CycleTime,Cycle Time - Machining,Statistical
CT_Assembly,CycleTime,Cycle Time - Assembly,Statistical
CT_Finishing,CycleTime,Cycle Time - Finishing,Statistical
OnTimeDelivery,EfficiencyMetrics,On-Time Delivery (%),Statistical
CustomerSatisfaction,EfficiencyMetrics,Customer Satisfaction Score,Statistical
CostPerUnit,EfficiencyMetrics,Cost Per Unit,Statistical
CPU_Material,CostPerUnit,Material Cost Per Unit,Statistical
CPU_Labor,CostPerUnit,Labor Cost Per Unit,Statistical
CPU_Overhead,CostPerUnit,Overhead Cost Per Unit,Statistical
InventoryTurns,EfficiencyMetrics,Inventory Turns,Statistical
DaysSalesOutstanding,EfficiencyMetrics,Days Sales Outstanding,Statistical
DaysPayableOutstanding,EfficiencyMetrics,Days Payable Outstanding,Statistical
